Lead_ID,Client_Name,Company_Segment,City,Assigned_Agent,Lead_Date,Status,Response_Time,Interaction_Count,Target_Sales
CL-1185,Client_1185,a regional Financial Institution, Shah Alam,Agent_A,12/12/2023,Nw,40.9h,18,2273.47
CL-2445, Client_2445,a private Manufacturing enterprise,Penang,Agent_D,9/10/2024,QUALIFIED,2.6 days,37,3979.72
CL-0302,Client_302,a private Manufacturing enterprise,PUTRAJAYA,Agent_A,6/20/2024,CONTACTED,45.4h,24,4677.59
CL-2844,Client_2844,a major Telecommunications provider,Seremban ,Agent_A,22/06/2024,Qualified,54.8,10,3016.59
CL-2472,client_2472,a Government Service provider,Kota  Kinabalu,Agent_A,8-Feb-24,Contactd,68.4,9,4721.15
CL-0152,Client_152,a leading Utility company,Serembn,Agent_A,7/21/2024,QUALIFIED,61.4 hours,11,3343.49
CL-1020,Client_1020,a Government Service provider,Petaling  Jaya,Agent_B,05.03.2024,Conctacted,56,45,4599.4
CL-1033,Client_1033,a regional Financial Institution,Johore Bahru,Agent_D,5-Sep-23,Nw,28.6,37,1573.7
CL-1573,Client_1573,a private Manufacturing enterprise,shah alam,Agent_B,15-Jun-23, New,26.3 hours,35,2406.82
CL-2966,client_2966,a private Manufacturing enterprise, Kuala Lumpur,Agent_D,1/10/2023, Contacted,35.0h,19,2829.99
CL-2394,Client_2394,a private Manufacturing enterprise,Kota Kinabalu,Agent_C,12/3/2023,Qualified ,64.6,29,1795.24
CL-1480,CLIENT_1480,a Government Service provider,Petaling Jya,Agent_A,10-Apr-24,Qualified ,43.7h,10 interactions,1892.9
CL-2422,Client_2422,a regional Financial Institution,Putrajaya,Agent_C,8/4/2024,lost,0.6 days,18,1708.81
CL-1014,Client_1014,a Government Service provider,seremban,Agent_A,11/16/2024,contacted,46.4h,12,3502.64
CL-0203,Client_203,a private Manufacturing enterprise,petaling jaya,Agent_C,2/23/2023,Conctacted,34,1,1660.75
CL-2866,Client_2866,a Government Service provider,putrajaya,Agent_A,11/3/2023,CONVERTED,56.3 hours,7,4599.43
CL-2903,Client_2903,a leading Utility company,Kuala Lumpur,Agent_D,07.03.2024,CONTACTED,17.5h,48,2399.64
